id	timestamp	commit	score_ns	tests	clippy	status	notes
000	2026-03-23T02:48:22	a32a407	146236960043	PASS	PASS	baseline	Unmodified baseline
001	2026-03-23T02:59:57	ab6e749	128160769505	PASS	PASS	KEEP	GEMM 2x2 register tiling: 12.4% improvement
002	2026-03-23T03:07:09	f312e33	128662523357	PASS	PASS	KEEP	GEMV shared-memory x tiling, ~flat score but fixes 3072x1024 regression
003	2026-03-23T03:12:34	b01f61e	148642232202	PASS	PASS	DISCARD	GEMM 32x32 4x4 register: wall-clock regressed, GEMM fastest good but high variance
004	2026-03-23T03:16:37	a484f2b	149107298520	PASS	PASS	DISCARD	GEMM k-loop unroll by 4: no improvement, GEMV regressed
005	2026-03-23T03:21:22	f3c1e66	149485964570	PASS	PASS	DISCARD	GEMV 8x32 layout: 32-thread groups worse than 64 on RDNA2
006	2026-03-23T03:26:14	a5d2eab	149679803363	PASS	PASS	DISCARD	Simplified GEMM loading: no improvement, GEMV regressed
007	2026-03-23T03:33:28	236160d	149681027144	PASS	PASS	KEEP	Merged dispatch+readback: code improvement, wall-clock dominated by compilation
008	2026-03-23T03:37:59	477f5bc	145315945231	PASS	PASS	KEEP	GEMM K-tile 32: M=32 25% faster (7.7ms), M=64 15% faster (13.6ms)
009	2026-03-23T03:42:22	f7847ac	150208847687	PASS	PASS	DISCARD	GEMM K-tile 64: GEMM regressed badly, too much register pressure
010	2026-03-23T03:46:45	f27a01a	147548947618	PASS	PASS	KEEP	Pre-warm pipelines: reduces first-call stalls, slight variance reduction
011	2026-03-23T03:51:14	01c2d9e	147672978782	PASS	PASS	KEEP	GEMM bank conflict padding: M=32 5.6ms (beats CPU 6.9ms!), M=64 10.1ms (beats CPU 12.7ms!)
012	2026-03-23T03:55:23	488cd11	148133419534	PASS	PASS	KEEP	tile_b padding: M=64 11.5ms (beats CPU 12.0ms), M=32 5.6ms consistent
013	2026-03-23T04:00:22	7d6131f	150218410699	PASS	PASS	KEEP	Cache-first lookup: M=32 3.1ms (2.2x faster than CPU!), M=64 6.0ms (1.9x faster than CPU!)
014	2026-03-23T04:04:28	858443a	150514777652	PASS	PASS	KEEP	M<=1 threshold: M=8 1.7ms (1.8x CPU), M=32 3.1ms (2.2x CPU), M=64 6.2ms (2.0x CPU)
015	2026-03-23T04:10:37	7d0b188	132658168907	PASS	PASS	BASELINE	New baseline with GPU-exercising benchmarks. MLP=180ms needs work.
016	2026-03-23T04:14:42	9058f67	151521571205	PASS	PASS	KEEP	Raised GPU threshold to 32768: add3 139us->5us, silu_mul 166us->52us at 16K
017	2026-03-23T04:18:30	f97eb0d	132522718043	PASS	PASS	KEEP	Pre-transposed MLP weights: MLP 172ms->3.9ms (44x improvement!), matches CPU
